"CCV","Carcharhinus perezi"
"CCQ","Carcharhinus sorrah"
"CCU","Carcharhinus tilstoni"
"CCW","Carcharhinus wheeleri"
"CWZ","Carcharhinus spp"
"TIG","Galeocerdo cuvier"
"SLA","Scoliodon laticaudus"
"TRB","Triaenodon obesus"
"NGB","Negaprion brevirostris"
"NGA","Negaprion acutidens"
"CLD","Loxodon macrorhinus"
"CGA","Glyphis gangeticus"
"CGG","Glyphis glyphis"
"RHT","Rhizoprionodon terraenovae"
"RHA","Rhizoprionodon acutus"
"RHL","Rhizoprionodon lalandii"
"RHU","Rhizoprionodon longurio"
"RHX","Rhizoprionodon oligolinx"
"RHR","Rhizoprionodon porosus"
"RHY","Rhizoprionodon taylori"
"RHZ","Rhizoprionodon spp"
"RSK","Carcharhinidae"
"EUB","Eusphyra blochii"
"SPZ","Sphyrna zygaena"
"SSN","Sphyrna corona"
"SPV","Sphyrna couardi"
"SPL","Sphyrna lewini"
"SPE","Sphyrna media"
"SPQ","Sphyrna tudes"
"SPJ","Sphyrna tiburo"
"SPK","Sphyrna mokarran"
"SPN","Sphyrna spp"
"SPY","Sphyrnidae"
"CTU","Mustelus antarcticus"
"CTN","Mustelus californicus"
"CTI","Mustelus canis"
"CTD","Mustelus dorsalis"
"CTF","Mustelus fasciatus"
"CTE","Mustelus griseus"
"CTK","Mustelus henlei"
"CTJ","Mustelus higmani"
"MTL","Mustelus lenticulatus"
"MUU","Mustelus lunulatus"
"MTZ","Mustelus manazo"
"SDP","Mustelus schmitti"
"SMD","Mustelus mustelus"
"MTR","Mustelus norrisi"
"SDS","Mustelus asterias"
"MTE","Mustelus mento"
"MTM","Mustelus mosis"
"MUP","Mustelus palumbes"
"MPT","Mustelus punctulatus"
"MUW","Mustelus whitneyi"
"SDV","Mustelus spp"
"GAG","Galeorhinus galeus"
"TTA","Triakis acutipinna"
"LES","Triakis semifasciata"
"TTM","Triakis maculata"
"TTE","Triakis megalopterus"
"TTY","Triakis scyllium"
"TIK","Iago garricki"
"TIO","Iago omanensis"
"TGF","Gogolia filewoodi"
"THH","Hypogaleus hyugaensis"
"TFM","Furgaleus macki"
"THJ","Hemitriakis japanica"
"THL","Hemitriakis leucoperiptera"
"TSK","Scylliogaleus quecketti"
"TRK","Triakidae"
"PTM","Pseudotriakis microdon"
"HCM","Chaenogaleus macrostoma"
"HEE","Hemipristis elongata"
"HEC","Paragaleus leucolomatus"
"HEI","Paragaleus pectoralis"
"HEN","Paragaleus tengi"
"IEI","Paragaleus randalli"
"HEH","Hemigaleus microstoma"
"CLL","Leptocharias smithii"
"CPE","Ctenacis fehlmanni"
"PEB","Eridacnis barbouri"
"PEA","Eridacnis radcliffei"
"PED","Eridacnis sinuans"
"CPG","Gollum attenuatus"
"CPY","Proscyllium habereri"
"CVX","Carcharhiniformes"
"GSK","Somniosus microcephalus"
"SOR","Somniosus rostratus"
"SON","Somniosus pacificus"
"CHZ","Cirrhigaleus asper"
"CHF","Cirrhigaleus barbifer"
"EUZ","Euprotomicroides zantedeschia"
"HYY","Heteroscymnoides marleyi"
"QUB","Squalus blainville"
"QUC","Squalus cubensis"
"QUJ","Squalus japonicus"
"DGS","Squalus acanthias"
"QUK","Squalus mitsukurii"
"QUR","Squalus rancureli"
"QUN","Squalus melanurus"
"DOP","Squalus megalops"
"DGZ","Squalus spp"
"GUP","Centrophorus granulosus"
"CPU","Centrophorus uyato"
"GUQ","Centrophorus squamosus"
"CPL","Centrophorus lusitanicus"
"CEA","Centrophorus acus"
"CEU","Centrophorus harrissoni"
"CEM","Centrophorus moluccensis"
"CEK","Centrophorus niaukang"
"CEE","Centrophorus tessellatus"
"GVA","Centrophorus atromarginatus"
"GVI","Centrophorus isodon"
"CWO","Centrophorus spp"
"ETX","Etmopterus spinax"
"ETB","Etmopterus bigelowi"
"ETH","Etmopterus brachyurus"
"ETU","Etmopterus bullisi"
"ETR","Etmopterus princeps"
"ETP","Etmopterus pusillus"
"ETI","Etmopterus gracilispinis"
"ETM","Etmopterus granulosus"
"ETN","Etmopterus hillianus"
"ETF","Etmopterus lucifer"
"ETL","Etmopterus molleri"
"ETT","Etmopterus polli"
"ETZ","Etmopterus schultzi"
"ETQ","Etmopterus sentosus"
"ETK","Etmopterus splendidus"
"ETJ","Etmopterus unicolor"
"ETV","Etmopterus villosus"
"ETW","Etmopterus virens"
"ETE","Etmopterus compagnoi"
"ETO","Etmopterus decacuspidatus"
"SHL","Etmopterus spp"
"ISB","Isistius brasiliensis"
"ISP","Isistius plutodus"
"EUP","Euprotomicrus bispinatus"
"DCA","Deania calcea"
"SDH","Deania hystricosa"
"SDU","Deania profundorum"
"SDQ","Deania quadrispinosa"
"DNA","Deania spp"
"YSA","Scymnodalatias albicauda"
"YSS","Scymnodalatias sherwoodi"
"CYO","Centroscymnus coelolepis"
"CYP","Centroscymnus crepidater"
"CYY","Centroscymnus cryptacanthus"
"CYW","Centroscymnus owstoni"
"CYU","Centroscymnus plunketi"
"CZI","Centroscymnus spp"
"SYO","Scymnodon obscurus"
"SYR","Scymnodon ringens"
"YSM","Scymnodon macracanthus"
"SSQ","Scymnodon squamulosus"
"SCK","Dalatias licha"
"CFB","Centroscyllium fabricii"
"CYG","Centroscyllium granulatum"
"CYK","Centroscyllium kamoharai"
"CYN","Centroscyllium nigrum"
"CYT","Centroscyllium ornatum"
"CYR","Centroscyllium ritteri"
"YCX","Centroscyllium spp"
"ACN","Aculeola nigra"
"QUA","Squaliolus aliae"
"QUL","Squaliolus laticaudus"
"DGX","Squalidae"
"DGH","Squalidae, Scyliorhinidae"
